id,title,author,language,item_type,publication,publisher,database,notes,added_date,
465820596,Fra det nu forsvundne Solrød kommune,Steen Rosendahl, Solrød lokalhistoriske arkiv,丹麥語（Danish）,book,,"[København] : Strandbergs forlag, 1984",,,2014-12-14 04:38
479686183,Råd og vejledning for børn og unge og deres forældre,Solrød Kommune. Pædagogisk-psykologisk rådgivning,,丹麥語（Danish）,book,,"Solrød : Solrød Kommune. Pædagogisk-psykologisk rådgivning, 1990?",,,2014-12-14 04:38
478370788,Et hjem i fritiden,Solrød Kommune,,丹麥語（Danish）,book,,"Solrød : kommunen, 1988",,,2014-12-14 04:38
488492529,Solrød atletik & motion,,丹麥語（Danish）,jrnl,,Solrød,,,2014-12-14 04:38,
